<page_number>84</page_number>

Key Contributors (continued)

| Contributor's Name | Affiliation | LinkedIn Profile Link |
|---|---|---|
| Jerry Huang | Google | https://www.linkedin.com/in/jerry-huang-16a486190/ |
| Jian Wang | McKinsey & Company | https://www.linkedin.com/in/jian-wang-9786532/ |
| Joshua Beck | SAS | https://www.linkedin.com/in/joshuatbeck/ |
| Justin Roy | Microsoft | https://www.linkedin.com/in/justin-m-roy/ |
| Kashif Memon | Amazon | https://www.linkedin.com/in/memonkashif/ |
| Kavya Surendranath | Banking Industry | https://www.linkedin.com/in/kavya-s-nath-832b1618/ |
| Kayla Underkoffler | Zenity | https://www.linkedin.com/in/kayla-underkoffler-7400673a/ |
| Ken Huang | Distributedapps.ai | https://www.linkedin.com/in/kenhuang8/ |
| Keren Katz | Apex Security (Acquired by Tenable) | https://www.linkedin.com/in/keren-katz-ba3041189/ |
| Lewis Peach | Google Public Sector | https://www.linkedin.com/in/lewis-peach |
| Madhu Dama | SAP Labs | https://www.linkedin.com/in/madhusudana-dama-46025019/ |
| Mahesh Lambe | MIT, Stanford | https://www.linkedin.com/in/maheshlambe/ |
| Manish Bhatt | OWASP/Amazon Kuiper Security | https://www.linkedin.com/in/manishbhatt132123/ |
| Manish Kumar Yadav | SAP | https://www.linkedin.com/in/manish-infosec/ |
| Marissa Dotter | MITRE Corp. | https://www.linkedin.com/in/marissa-dotter-a373551a9/ |

                                                                                                                              83
