<page_number>81</page_number>

Key Contributors (continued)

| Contributor's Name | Affiliation | LinkedIn Profile Link |
|---|---|---|
| Amit Sharma | Infinite Security | https://www.linkedin.com/in/amitsharma44/ |
| Angus Chen | Qerberos | www.linkedin.com/in/anguschencybersecurity |
| Angela Sorosina | Neueda | https://www.linkedin.com/in/angela-sorosina |
| Andrew Coyne | (blank) | https://www.linkedin.com/in/andrewcoyne/ |
| Anirudh Murali | Palo Alto Networks | https://www.linkedin.com/in/anirudh-murali-10377a37/ |
| Ankit Gupta | Exeter Finance LLC | https://www.linkedin.com/in/ankytgupta/ |
| Anthony Glynn | Capital One | https://www.linkedin.com/in/anthony-glynn/ |
| Arsalan Mosenia | Unclave AI | https://www.linkedin.com/in/arsalan-mosenia/ |
| Arth Singh | National Institute Of Technology Agartala | https://www.linkedin.com/in/arthsingh7in/ |
| Ashutosh Barot | (blank) | https://www.linkedin.com/in/ashutoshbarot/ |
| Barak Sternberg | Formerly Wild Pointer | https://www.linkedin.com/in/barakolo/ |
| Brian M. Green | Health-Vision.AI, LLC | https://www.linkedin.com/in/bgreen2/ |
| Cecil Su | BDO | https://www.linkedin.com/in/cecilsu/ |
| Charan Maddipatla | Oracle | www.linkedin.com/in/charan-m-484564147 |
| Chase Pettet | Life360 | https://www.linkedin.com/in/chase-pettet/ |

                                                                                                                              80
